description,epochs,total time,train loss,MPJPE (Bodies at Rest),MPJPEAO (Bodies at Rest),SDPJPE (Bodies at Rest),PCP (Bodies at Rest),PCK (Bodies at Rest),MPJPE (SLP),MPJPEAO (SLP),SDPJPE (SLP),PCP (SLP),PCK (SLP),MPJPE (Softline),MPJPEAO (Softline),SDPJPE (Softline),PCP (Softline),PCK (Softline)
Ex I: SLP,84,124.3230286,8.205430984,31.71808833,26.63123409,19.64318996,0.142392248,0.123309024,10.37220519,7.726185355,9.117636817,0.713148117,0.705413103,15.72453237,11.35422926,12.78094846,0.674999952,0.507692277
Ex I: Bodies at Rest,94,1058.805908,9.934760094,10.24194891,6.74861672,11.84689909,0.766045213,0.728706896,18.87545264,14.91620486,12.47881377,0.381851822,0.326267779,16.76353779,14.22834347,10.44094394,0.484999955,0.356923103
Ex I: Combined,60,1220.053223,8.169576645,11.59915342,7.724101758,12.71476473,0.721519411,0.685563684,8.621161783,6.467087294,7.758962961,0.798981428,0.784444392,12.33593847,9.658438717,8.867867477,0.785000026,0.596923053
Ex II: O,27,544.5974731,7.835965157,11.63705742,7.76258395,12.74336422,0.721551657,0.684084833,8.82209672,6.569757129,8.003248265,0.785092592,0.777891815,14.70414553,12.18459465,9.677899497,0.63500005,0.455384612
Ex II: MM,37,739.3099976,8.060707092,11.37626566,7.521684312,12.62938313,0.728997886,0.693859398,8.725532607,6.449992092,7.89448855,0.782407343,0.774985671,13.48033093,11.00450688,9.344867419,0.699999988,0.547692299
Ex II: SM,33,670.7915649,7.737514973,11.84552279,7.853345617,13.0145401,0.713555992,0.677214861,9.03730637,6.692995071,8.162461897,0.77379632,0.768945813,15.13018814,12.13097828,10.51502255,0.594999969,0.507692277
Ex II: B,32,651.2084961,7.55166769,11.70922068,7.738566844,12.76115051,0.716056049,0.681863427,8.774519481,6.542246803,8.021964616,0.78981483,0.777606905,12.7386567,9.864997095,8.99308252,0.755000055,0.587692261
Ex II: HE,33,668.8466187,7.965953827,11.43914852,7.64415666,12.6197062,0.727068961,0.689721465,8.837964196,6.605292425,7.991004492,0.785277724,0.774073958,14.86648325,12.51073707,9.195997553,0.610000014,0.476923048
Ex II: SF,29,589.4087524,8.496835709,12.12227607,8.175725525,12.96681339,0.70560348,0.667287767,9.014909894,6.686182025,8.165040487,0.778518498,0.765071273,13.18297229,11.28091402,8.799961789,0.800000012,0.603076875
Ex II: MM + O,32,686.5925293,7.834895134,11.39659294,7.60326115,12.6592955,0.727866411,0.692672372,8.696829795,6.57410971,7.775650394,0.793333292,0.78079772,14.51183576,11.21323247,10.39200581,0.720000029,0.510769248
Ex II: MM + SM,41,894.6837158,7.294127464,10.91770375,7.211949275,12.34638563,0.742079735,0.707055748,9.004778281,6.626633215,8.404459496,0.777870357,0.773789167,14.82048817,12.28127427,9.411317833,0.644999981,0.476923108
Ex II: MM + B,28,605.7000122,7.857399464,11.24865315,7.498546983,12.44985687,0.734191775,0.697413743,8.695622911,6.51206131,7.984522737,0.791481555,0.781937242,13.66764618,11.12618383,8.766211761,0.715000033,0.519999981
Ex II: MM + HE,30,642.1569824,8.118397713,11.39080029,7.590890476,12.60469675,0.729353487,0.693945646,8.778606212,6.550134915,8.076761386,0.787129581,0.776296318,15.13198397,13.12209286,9.60533261,0.594999969,0.424615353
